County,Response_Rate_00,Response_Rate_10,Population_00,Population_10,White_00,Black_00,Asian_00,Hispanic_00,White_10,Black_10,Asian_10,Hispanic_10,Republican_00,Democratic_00,Independence_00,Conservative_00,Liberal_00,Green_00,Working_Families_00,Democratic_10,Republican_10,Independence_10,Conservative_10,Working_Families_10,Green_10,AvgHousePrice_00,AvgHousePrice_10
Kings County,1627115,1427679,2465326,2504700,855468,848072,184899,880727,894178,798999,260489,916856,134952,906562,12444,6724,9206,1731,1309,995675,127359,29159,4668,0,4763,220844,394055
Lewis County,18860,17877,26944,27087,26351,108,54,10040,26220,163,81,10514,9442,4457,347,233,156,14,10,4720,9257,720,243,51,27,54111,82720
Livingston County,48889,43159,64328,65393,59761,1866,515,22150,60292,1504,785,24409,18306,10588,1013,886,457,36,16,11602,17770,1857,806,158,130,91235,114767
Madison County,47914,48472,69441,73442,66594,903,417,25368,68889,1249,588,27754,20051,11773,1343,1006,520,63,30,12462,17739,2796,842,223,141,92165,124882
Monroe County,544153,535928,735343,744344,566949,98536,17648,286512,541882,107186,23819,300422,154921,156871,9525,8908,3423,445,221,188640,142276,18970,7995,1482,1154,105494,129481
Montgomery County,29824,29127,49708,50219,45085,447,249,20038,42736,703,352,20272,12743,12104,824,651,385,18,14,10862,10993,1493,581,133,54,59033,90806
Nassau County,1000908,937672,1334544,1339532,987563,129451,62724,447387,877393,140651,101804,448528,378396,291314,11246,11220,5732,414,463,354440,334204,28134,9576,1960,1163,291395,448218
New York County,1029920,1046676,1537195,1585873,704035,235191,142959,738644,761219,204578,177618,763846,123254,681621,17003,2973,8054,2137,537,743613,112309,31310,2024,0,1913,354258,711065
Niagara County,158289,149364,219846,216469,197861,13411,1319,87846,188977,14503,1732,90556,52405,62772,2515,3034,1961,85,109,60649,47112,6020,2761,995,261,87101,110168
Oneida County,155409,152671,235469,234878,208626,12951,2590,90496,199177,13623,6577,93028,57604,50311,3483,1840,1359,99,79,47984,52426,7012,1672,495,162,76321,116997
Onondaga County,302501,331588,458336,467026,383627,41709,9625,181153,369885,48571,14478,187686,109822,96705,7505,5552,2893,556,237,112524,95017,13922,4777,1435,814,91548,132222
Ontario County,69154,75552,100224,107931,94211,1904,702,38370,99081,2267,1079,43019,28196,19060,1805,1296,724,92,25,21053,27913,3637,1238,176,186,119275,155121
Orange County,228715,227416,341367,372813,264901,25603,5121,114788,254258,33926,8575,125925,79054,64803,4233,4295,1673,213,99,80079,75861,10524,3603,763,534,169619,265655
Orleans County,26944,28303,44171,42883,38561,3048,133,15363,37651,2359,172,16119,11595,6164,492,517,250,10,14,6445,11654,1115,507,152,53,59702,82335
Oswego County,81992,76929,122377,122109,118094,734,490,45522,116126,855,733,46400,42697,20450,2249,2199,998,76,36,20696,36617,3913,1716,409,145,67700,96241
Otsego County,33305,35488,61676,62259,58345,987,370,23291,57714,934,685,24620,16235,11094,1070,544,409,66,15,11791,14430,2143,500,133,142,61438,116812
Putnam County,64149,65809,95745,99710,85979,1436,1149,32703,82660,2094,1795,35041,22947,16972,1689,3034,455,68,33,18752,22856,3358,2123,180,146,232833,354750
Queens County,1382214,1338433,2229379,2230722,733466,423582,390141,782664,615679,394838,508605,780117,159715,636562,11286,9125,8212,724,795,717073,140247,25764,6141,0,2966,214406,317251
Rensselaer County,103725,103629,152538,159429,137589,6864,2593,59894,136631,9566,3507,64702,30590,28818,3463,5269,1022,132,89,31380,27597,7133,4636,1434,301,117972,180469
Richmond County,288423,304675,443728,468730,316378,39492,24849,156341,299987,44529,34686,165516,76832,113569,3416,5201,1970,126,338,126519,80767,8427,4404,0,1054,223157,403539
Rockland County,194992,221298,286753,311687,205602,30109,15771,92675,203532,34597,19013,99242,44284,77312,2994,4399,1216,133,195,86841,44908,6725,3517,565,222,296193,436234
Saratoga County,140444,155921,200635,219607,190804,2608,2006,78165,203576,3074,3953,88296,68022,31941,3889,1878,1099,133,56,41414,67796,8623,2110,445,342,50366,70396
Schenectady County,83536,106762,146555,154727,126477,9526,2931,59684,119449,13461,4951,62886,33790,35900,2461,2787,869,77,57,37767,27795,5108,3165,665,195,130946,238137
Schoharie County,20528,18994,31582,32749,30098,379,126,11991,30751,393,229,13166,7770,5351,447,364,188,25,7,5447,8055,1235,398,85,78,101371,168196
Schuyler County,12111,10639,19224,18343,18417,269,58,7374,17646,147,55,7530,5443,3578,313,234,154,38,21,3717,5197,692,207,88,73,77716,118204
Seneca County,22672,22208,33342,35251,31341,734,233,12630,32008,1516,247,13393,9245,6988,427,584,277,22,12,6751,8310,920,425,114,54,68520,95847
St. Lawrence County,76113,69405,111931,111944,104767,2574,784,40506,103996,2239,1119,41605,26499,24692,1724,825,712,88,20,24132,23280,3291,791,287,176,67483,88801
Steuben County,43439,59394,98726,98990,94678,1283,889,39071,93447,1485,1188,40344,32030,14737,1421,892,626,53,49,16268,31545,2927,836,272,152,73207,90077
Suffolk County,1078720,1000545,1419369,1493350,1118463,93678,34065,469299,1069239,101548,50774,499922,341436,246496,16699,22420,7570,581,491,325859,332433,39570,22254,4137,1829,325502,568920
Sullivan County,50296,32570,73966,77547,59247,5917,814,27661,57773,6359,1008,30139,15858,19999,961,1162,422,33,23,20484,14447,2332,1028,231,154,81968,155335
Tioga County,32106,36299,51784,51125,50179,259,311,19725,49080,358,358,20350,16809,9011,936,497,296,32,18,9284,15291,1665,372,138,99,70638,100096
Tompkins County,55970,68048,96501,101564,80868,3281,6948,36420,81454,3758,8633,38967,18578,25987,1651,483,655,536,66,28221,14854,2514,362,0,255,103333,187713
Ulster County,113759,104021,177749,182493,151975,9065,2133,67499,149097,10037,3102,71049,34772,33242,2288,2917,1151,407,76,42710,32129,5603,2708,0,575,136517,227694
Warren County,44312,37453,63303,65707,61277,380,317,25726,62553,526,460,27990,23874,10106,1114,639,424,43,17,11463,21931,2491,585,0,162,118546,202891
Washington County,41508,38562,61042,63216,57379,1709,183,22458,58981,1707,253,24142,17860,8689,928,637,382,29,27,9948,17158,2359,599,0,223,63425,121861
Wayne County,65635,63765,93765,93772,86733,3000,469,34908,85333,2719,469,36585,25690,14160,1601,1605,627,33,31,14976,24336,2810,1408,0,249,92526,113800
Westchester County,535606,635906,923459,949113,591937,125590,40632,337142,544791,126232,51252,347232,166134,231323,10997,12690,3771,478,321,278548,148768,22963,9325,0,1508,363367,565824
Wyoming County,0,26979,43424,42155,39342,2301,174,14906,38024,2234,169,15501,12403,6921,628,511,283,15,18,6522,11614,1148,477,0,102,67813,92991
Yates County,0,14195,24621,25348,23981,123,74,9029,24359,203,101,9517,8508,3891,364,268,166,21,8,3892,7349,674,242,0,66,80772,114805
